Date,Adj Close,pct_change,Month,1monthchange,is_last
2011-04-12,1.643332958,,2011-04,,False
2011-04-13,1.661999941,1.1359221458515867,2011-04,,False
2011-04-14,1.675999999,0.8423621237661827,2011-04,,False
2011-04-15,1.705332994,1.7501787003282532,2011-04,,False
2011-04-18,1.668666959,-2.150080666298293,2011-04,,False
2011-04-19,1.677332997,0.5193389821293692,2011-04,,False
2011-04-20,1.716667056,2.3450357842092817,2011-04,,False
2011-04-21,1.782667041,3.844658448434757,2011-04,,False
2011-04-25,1.759333014,-1.3089391604452771,2011-04,,False
2011-04-26,1.795333028,2.046230799600046,2011-04,,False
2011-04-27,1.805333018,0.5569991663964435,2011-04,,False
2011-04-28,1.843999982,2.1418189117726527,2011-04,,False
2011-04-29,1.840000033,-0.21691697608704485,2011-04,11.967573220180004,True
2011-05-02,1.830000043,-0.5434777076441466,2011-05,,False
2011-05-03,1.79133296,-2.1129553055425743,2011-05,,False
2011-05-04,1.779332995,-0.6698902587043309,2011-05,,False
2011-05-05,1.762666941,-0.9366461503738988,2011-05,,False
2011-05-06,1.807999969,2.5718430944351667,2011-05,,False
2011-05-09,1.86066699,2.912998999061367,2011-05,,False
2011-05-10,1.888666987,1.5048365532620123,2011-05,,False
2011-05-11,1.804666996,-4.447580837605858,2011-05,,False
2011-05-12,1.844666958,2.216473293336607,2011-05,,False
2011-05-13,1.836666942,-0.4336834877052054,2011-05,,False
2011-05-16,1.773332953,-3.4483110438648046,2011-05,,False
2011-05-17,1.730666995,-2.405975591206422,2011-05,,False
2011-05-18,1.756667018,1.5023122920305054,2011-05,,False
2011-05-19,1.879999995,7.020851176474929,2011-05,,False
2011-05-20,1.864667058,-0.8155817574882485,2011-05,,False
2011-05-23,1.787999988,-4.111568854668968,2011-05,,False
2011-05-24,1.78133297,-0.3728757295718643,2011-05,,False
2011-05-25,1.932000041,8.45810825586415,2011-05,,False
2011-05-26,1.965332985,1.7253076238418208,2011-05,,False
2011-05-27,1.970000029,0.23746835959199686,2011-05,,False
2011-05-31,2.009332895,1.9965921533496633,2011-05,9.799609168643059,True
2011-06-01,1.901332974,-5.37491429462712,2011-06,,False
2011-06-02,1.917333007,0.8415166211702241,2011-06,,False
2011-06-03,2.008666992,4.763595299645318,2011-06,,False
2011-06-06,1.913333058,-4.746129367371021,2011-06,,False
2011-06-07,1.891332984,-1.149829817031267,2011-06,,False
2011-06-08,1.807999969,-4.406046724980084,2011-06,,False
