Actual,LR,RF,SARIMAX
235.2233276,235.17040348445784,237.04662991900025,229.10066866863255
264.5100098,264.73005066027156,273.9838714420002,301.1702845106843
225.1666718,224.9502445617881,235.99033476999975,242.88132138193248
222.6433258,222.19326118819492,222.19573071399984,213.95757014372498
236.4799957,235.71760537779494,232.40647005400007,245.8348856534894
208.406662,208.54234144569944,208.5865290810001,204.60651261872505
226.5666656,226.49901685898965,225.3143632330003,231.69591491518426
229.0666656,229.0129329617351,232.80326826199976,222.98642974536565
245.2400055,245.2115253644621,245.80363584100024,244.70604792856443
258.4933472,258.4617730183655,258.6040414160003,270.92599013673714
371.3333435,370.8952501672472,392.7642712439996,378.6349258868735
381.5866699,381.4647262662982,367.9135995460001,403.9264428529472
352.2600098,352.1382596924184,383.50856569900054,391.36991063657587
312.2399902,310.4994300872943,307.1008605990003,324.31812533356896
290.1433411,289.2376427910193,286.07012601999975,286.45768672295253
359.2000122,359.39703073812365,364.57509981200013,386.0532932787982
290.2533264,289.9513352438397,295.2818392989999,322.4767819116846
252.7533264,253.24965570465605,250.3042968780001,232.92920290545499
224.4733276,224.32144091133273,227.01253510900014,243.3073167500117
297.1499939,296.5636988651228,299.5412387279998,289.62407694516264
275.6099854,275.3463980190498,276.3156335739998,302.89585576391426
265.25,264.9933520896726,249.88345993699983,293.3595830711987
227.5399933,227.5766693864407,226.92167081600022,228.77527305540394
194.6999969,194.04424485147348,194.35566373100013,183.93682491696495
123.1800003,123.26223073580425,121.48836662500008,99.89463128336942
173.2200012,173.02857622822614,180.78593507700018,156.86924614559302
205.7100067,205.86408702290396,203.54730242200017,200.5887930135512
207.4600067,206.9634544882329,198.25317048800017,195.25329892309156
164.3099976,164.13914257558844,169.0172675880001,151.84550165503776
188.6950073,188.8708933163254,192.55266449199996,174.50172759304354
