Actual,LR,RF,SARIMAX
421.87628173828125,421.87628173828125,422.02446411132814,419.75021993660187
417.1664733886719,417.1664733886719,417.26175689697266,418.7564749858545
423.2433166503906,423.2433166503906,423.4087271118164,420.7139754241928
431.984375,431.984375,431.8945489501953,427.94539661623463
414.8514709472656,414.8514709472656,414.82599273681643,423.06215055817177
423.7023010253906,423.7023010253906,423.60408264160156,419.7534221191541
423.9018859863281,423.9018859863281,423.8544107055664,423.53071616075977
428.3222961425781,428.3222961425781,428.2691104125977,426.49086672445986
423.5426330566406,423.5426330566406,423.5352899169922,425.638514393184
406.8987121582031,406.8987121582031,406.90239990234375,414.9805746645304
413.5443115234375,413.5443115234375,413.51881225585936,410.84356016952944
412.72607421875,412.72607421875,412.70763122558594,412.94744924280064
410.4909362792969,410.4909362792969,410.42527099609373,411.72926476305764
413.0653381347656,413.0653381347656,413.03696502685546,411.98555098960264
419.8606262207031,419.8606262207031,419.6550054931641,417.2577353268435
414.22283935546875,414.22283935546875,414.1799725341797,416.4242916278217
411.7681579589844,411.7681579589844,411.7632437133789,412.59944176760814
406.8887023925781,406.8887023925781,406.9414617919922,409.3370238136109
404.3342590332031,404.3342590332031,404.2114147949219,405.66719068456956
408.5451354980469,408.5451354980469,408.51988372802737,407.29857683065427
421.0081481933594,421.0081481933594,421.13294006347655,415.3446659079674
422.6246643066406,422.6246643066406,422.6135369873047,421.3204423978449
416.51788330078125,416.51788330078125,416.47196533203123,419.27451263746667
420.1499938964844,420.1499938964844,420.1762161254883,418.5812044170148
419.0899963378906,419.0899963378906,418.9608401489258,419.99960448742684
418.57000732421875,418.57000732421875,418.583408203125,418.63042407611783
416.0299987792969,416.0299987792969,415.927890625,416.9091175164026
412.6700134277344,412.6700134277344,412.64216796875,414.4506304393565
426.989990234375,426.989990234375,426.5398355102539,420.7915477266698
450.239990234375,450.239990234375,450.31311492919923,439.6941105606261
