Actual,LR,RF,SARIMAX
201.67999267578125,201.67999267578136,201.47833374023438,200.51791659617393
202.05999755859375,202.05999755859386,202.92079330444335,202.21044057076304
199.8800048828125,199.8800048828126,199.99492614746094,203.87549726171275
202.5,202.5000000000001,202.50585708618163,206.57597308732863
199.63999938964844,199.63999938964855,200.03564712524414,205.8474163223988
208.27000427246094,208.27000427246105,204.86330764770508,209.12526155963374
216.61000061035156,216.61000061035168,205.68231674194337,208.87362854681777
213.1699981689453,213.1699981689454,205.30745666503907,209.77417967348046
209.25,209.2500000000001,205.30745666503907,213.84419891263224
199.57000732421875,199.57000732421886,200.00551651000976,215.65827797557938
198.4499969482422,198.4499969482423,199.0956867980957,216.66467968780347
198.47999572753906,198.47999572753918,198.97711868286132,210.46478170179842
196.5,196.5000000000001,195.77046295166016,205.91298873795597
207.8300018310547,207.8300018310548,204.67444671630858,207.23763651908175
211.5,211.5000000000001,205.65241928100585,205.84593550620258
215.1999969482422,215.1999969482423,205.69231491088868,208.95877892877377
219.44000244140625,219.44000244140634,205.69231491088868,213.04918909823613
220.77999877929688,220.77999877929696,205.36135131835937,219.66209260201546
225.8300018310547,225.83000183105477,205.69231491088868,225.30146469292583
235.74000549316406,235.74000549316415,205.68231674194337,231.18184937970886
225.32000732421875,225.32000732421884,205.30745666503907,228.65369784674573
222.32000732421875,222.32000732421884,205.30745666503907,233.61437528596383
220.61000061035156,220.61000061035165,205.28345977783204,235.84787402064472
223.47000122070312,223.4700012207032,205.61992279052734,236.3891816026562
219.50999450683594,219.50999450683602,205.30745666503907,229.91545723475986
215.3300018310547,215.33000183105477,205.30745666503907,227.9377428945136
214.86000061035156,214.86000061035165,205.32145568847656,226.6345872551024
212.60000610351562,212.6000061035157,205.28345977783204,225.09727701270094
214.25,214.2500000000001,205.36135131835937,223.67482583828098
211.13999938964844,211.13999938964855,205.30745666503907,220.33385800916204
