Actual,LR,RF,SARIMAX
269.98126220703125,269.9812622070312,269.5212371826172,266.131142027493
272.79864501953125,272.7986450195312,272.87685150146484,270.9521031684408
265.9250183105469,265.9250183105468,266.1334375,269.6130112385684
272.9185791015625,272.91857910156244,272.94918853759765,269.28052897259477
273.1783142089844,273.1783142089843,273.1952349853516,272.90781579215417
270.81048583984375,270.8104858398437,270.8098840332031,272.102699006901
267.3636474609375,267.36364746093744,267.42739166259764,269.3400403257769
270.4608154296875,270.46081542968744,270.5281683349609,269.0225251002868
269.92132568359375,269.9213256835937,269.4377084350586,270.3427151725401
271.1002502441406,271.10025024414057,271.1367517089844,270.44394580911376
279.88214111328125,279.8821411132812,279.02567321777343,274.93373856479695
276.5751647949219,276.5751647949218,277.34029479980467,278.1240662827628
283.9184265136719,283.9184265136718,282.45442840576175,279.6759696929034
287.245361328125,287.24536132812494,284.30688232421875,285.08177127425824
287.1754150390625,287.17541503906244,283.72835510253907,286.9241010660679
293.0500183105469,293.0500183105468,283.98368286132813,289.46866487946085
292.67999267578125,292.6799926757812,283.72835510253907,292.63755726030575
294.79998779296875,294.7999877929687,283.86400390625,293.4518392046614
298.8699951171875,298.86999511718744,283.98368286132813,296.38233881156555
298.2099914550781,298.20999145507807,283.72835510253907,298.37918323652383
300.2300109863281,300.23001098632807,283.86400390625,298.94536674988757
297.8399963378906,297.83999633789057,283.72835510253907,299.1818613060301
298.9700012207031,298.97000122070307,283.8744842529297,298.39848600182256
302.25,302.24999999999994,284.1995809936523,300.3644704500644
304.989990234375,304.98999023437494,283.9372677612305,303.18889871501483
308.82000732421875,308.8200073242187,284.1995809936523,306.3037269783547
308.3299865722656,308.32998657226557,283.72835510253907,308.36449161393364
310.8500061035156,310.85000610351557,283.86400390625,309.22526303683975
312.510009765625,312.51000976562494,283.86400390625,311.42888168899026
312.05999755859375,312.0599975585937,283.72835510253907,312.19172619604336
