Actual,LR,RF,SARIMAX
925.4369506835938,925.4369506835906,925.5933337402344,915.1951899340564
918.3192138671875,918.3192138671842,918.3704388427734,920.3136109696214
901.4682006835938,901.4682006835906,901.6065002441406,909.9191853442424
919.8964233398438,919.8964233398406,920.0643377685547,911.9670074838951
916.0730590820312,916.0730590820281,916.0084405517578,917.6833924395215
882.4409790039062,882.4409790039031,882.7150903320312,900.6459100043005
866.7779541015625,866.7779541015593,866.2684814453125,878.5480230335896
872.498046875,872.4980468749969,872.6554443359375,874.5082367738128
849.7472534179688,849.7472534179658,849.8646588134766,863.5013832800053
932.993896484375,932.9938964843719,933.4882495117188,894.0913056760137
961.674560546875,961.6745605468716,958.0126251220703,938.3995794151364
966.2666625976562,966.2666625976528,967.0041400146484,954.8554589654643
987.170654296875,987.1706542968716,982.6633050537109,969.8151907470726
985.353759765625,985.3537597656214,982.9865740966796,982.6552512974728
973.2846069335938,973.2846069335901,978.8366778564454,978.6480153467534
946.8201293945312,946.8201293945277,953.0468231201172,962.9347531369681
965.3282470703125,965.328247070309,965.0178955078125,959.3994015182581
988.1689453125,988.1689453124965,986.8052740478515,976.1496263671914
1014.0044555664062,1014.0044555664025,1012.1752355957032,996.4745539420909
1004.9700317382812,1004.9700317382775,1005.7395178222656,1004.7855956538043
1004.9199829101562,1004.9199829101525,1006.0613323974609,1003.6359994519192
988.0900268554688,988.0900268554651,988.6274188232422,997.580499714445
1021.4099731445312,1021.4099731445275,1021.9183782958985,1005.2058191163659
1018.8699951171875,1018.8699951171837,1018.6113690185547,1017.9662845804736
1041.6500244140625,1041.6500244140586,1041.4163928222656,1026.9640230276223
1065.0,1064.9999999999961,1068.0267370605468,1048.0661092714279
1064.739990234375,1064.7399902343711,1068.3705822753907,1060.6262191594435
1082.9200439453125,1082.9200439453084,1081.843818359375,1069.7818095874652
1126.800048828125,1126.8000488281207,1102.0348132324218,1097.618951464183
1105.0,1104.9999999999957,1098.9039221191406,1112.0265354809474
